hierarquia,topico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,porcentagem_encontrada_num,porcentagem_caderno_num,nivel_hierarquia
CATEGORIA_PRINCIPAL,Direito Administrativo,22987,19.77%,22987,19.77%,19.77,19.77,0
CATEGORIA_PRINCIPAL,Língua Portuguesa (Português),24913,21.43%,24913,21.43%,21.43,21.43,0
CATEGORIA_PRINCIPAL,Informática,8469,7.28%,8469,7.28%,7.28,7.28,0
CATEGORIA_PRINCIPAL,Administração Geral e Pública,15938,13.71%,15938,13.71%,13.71,13.71,0
CATEGORIA_PRINCIPAL,Língua Inglesa (Inglês),5139,4.42%,5139,4.42%,4.42,4.42,0
CATEGORIA_PRINCIPAL,Auditoria Governamental e Controle,2936,2.53%,2936,2.53%,2.53,2.53,0
CATEGORIA_PRINCIPAL,Direito Constitucional,15353,13.21%,15353,13.21%,13.21,13.21,0
01,Interpretação de Textos (Understanding),3493,3.00%,3493,3.00%,3.0,3.0,1
01,"Origem, Conceito e Fontes do Direito Administrativo",176,0.15%,176,0.15%,0.15,0.15,1
01,Introdução à Administração,366,0.31%,366,0.31%,0.31,0.31,1
01,Teoria do Direito Constitucional,1477,1.27%,1477,1.27%,1.27,1.27,1
01,Controle (Aspectos Gerais),188,0.16%,188,0.16%,0.16,0.16,1
01,Ortografia,457,0.39%,457,0.39%,0.39,0.39,1
01,Conceitos Gerais de Informática e Introdução,29,0.02%,29,0.02%,0.02,0.02,1
01.01,"Controle - Conceitos, Tipos e Sistemas",105,0.09%,105,0.09%,0.09,0.09,2
01.01,Organização (Introdução à Administração),79,0.07%,79,0.07%,0.07,0.07,2
01.01,Teoria Geral do Direito Constitucional,346,0.30%,346,0.30%,0.3,0.3,2
01.01,Ortografia - Casos Gerais e Emprego das Letras,84,0.07%,84,0.07%,0.07,0.07,2
01.01.01,"Direito Constitucional: Conceito e Fontes. Estado, Povo, Território, etc.",27,0.02%,27,0.02%,0.02,0.02,3
01.01.02,"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos",176,0.15%,176,0.15%,0.15,0.15,3
01.01.03,Constitucionalismo e Neoconstitucionalismo,48,0.04%,48,0.04%,0.04,0.04,3
01.01.04,"Princípios Constitucionais Sensíveis, Estabelecidos e Extensíveis",19,0.02%,19,0.02%,0.02,0.02,3
01.01.05,Histórico das Constituições no Brasil,76,0.07%,76,0.07%,0.07,0.07,3
01.02,"Fatos da Língua Portuguesa (Porque, Por Que, Porquê e Por Quê; Onde, Aonde e Donde; Há e A, etc)",48,0.04%,48,0.04%,0.04,0.04,2
01.02,Administração,16,0.01%,16,0.01%,0.01,0.01,2
01.02,"Constituição: Conceito, Estrutura, Supremacia e Classificação",319,0.27%,319,0.27%,0.27,0.27,2
01.02,Natureza Jurídica e Tipos de Funções dos Tribunais de Contas,30,0.03%,30,0.03%,0.03,0.03,2
01.03,Inicial Maiúscula,25,0.02%,25,0.02%,0.02,0.02,2
01.03,Abrangência do Controle (art. 70 da CF),53,0.05%,53,0.05%,0.05,0.05,2
01.03,Administrador,38,0.03%,38,0.03%,0.03,0.03,2
01.03,Eficácia das Normas Constitucionais,271,0.23%,271,0.23%,0.23,0.23,2
01.04,Acentuação,232,0.20%,232,0.20%,0.2,0.2,2
01.04,Processo Organizacional e Funções Administrativas,155,0.13%,155,0.13%,0.13,0.13,2
01.04,"Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)",244,0.21%,244,0.21%,0.21,0.21,2
01.05,"Eficiência, Eficácia e Efetividade",78,0.07%,78,0.07%,0.07,0.07,2
01.05,Uso do Hífen,23,0.02%,23,0.02%,0.02,0.02,2
01.05,"Aplicação das Normas Constitucionais no Tempo (Recepção, Repristinação, Desconstitucionalização)",45,0.04%,45,0.04%,0.04,0.04,2
01.06,"Convenções de Escrita (Itálico, Siglas, etc)",16,0.01%,16,0.01%,0.01,0.01,2
01.06,Métodos e Princípios de Interpretação das Normas Constitucionais,222,0.19%,222,0.19%,0.19,0.19,2
01.07,Questões Mescladas de Ortografia,29,0.02%,29,0.02%,0.02,0.02,2
01.07,Simetria Constitucional,30,0.03%,30,0.03%,0.03,0.03,2
02,Hardware,348,0.30%,348,0.30%,0.3,0.3,1
02,Regime Jurídico Administrativo,691,0.59%,691,0.59%,0.59,0.59,1
02,"Fonética (Fonemas, Dígrafos, Encontros Consonantais, Vocálicos). Separação Silábica",41,0.04%,41,0.04%,0.04,0.04,1
02,Dos Princípios Fundamentais da Constituição (arts. 1º a 4º da CF/1988),272,0.23%,272,0.23%,0.23,0.23,1
02,Teorias Administrativas,760,0.65%,760,0.65%,0.65,0.65,1
02,Gramática (Grammatics),332,0.29%,332,0.29%,0.29,0.29,1
02,Controle Interno Governamental,551,0.47%,551,0.47%,0.47,0.47,1
02.01,Morfologia e Classe de Palavras (Morphology),213,0.18%,213,0.18%,0.18,0.18,2
02.01,"Introdução (Conceitos, Evolução Histórica, Princípios, Abordagens Prescritivas e Normativas)",12,0.01%,12,0.01%,0.01,0.01,2
02.01,Regime Jurídico da Administração e Regime Jurídico Administrativo,57,0.05%,57,0.05%,0.05,0.05,2
02.01,Processador (CPU) e Arquitetura de Computador,62,0.05%,62,0.05%,0.05,0.05,2
02.01,"Normas Internacionais sobre Controle Interno (COSO, Intosai)",105,0.09%,105,0.09%,0.09,0.09,2
02.01.01,Artigo (Articles),3,0.00%,3,0.00%,0.0,0.0,3
02.01.02,"Substantivos (Nouns, Plural, Quantifiers)",16,0.01%,16,0.01%,0.01,0.01,3
02.01.03,Adjetivos (Inglês),26,0.02%,26,0.02%,0.02,0.02,3
02.01.03.01,Adjetivos: Uso e Casos Gerais (Inglês),9,0.01%,9,0.01%,0.01,0.01,4
02.01.03.02,Grau Comparativo e Superlativo dos Adjetivos (Inglês),15,0.01%,15,0.01%,0.01,0.01,4
02.01.03.03,Adjetivos Possessivos (Possessive Adjectives),2,0.00%,2,0.00%,0.0,0.0,4
02.01.04,Verbos (Verbs),59,0.05%,59,0.05%,0.05,0.05,3
02.01.05,Pronomes (Pronouns),22,0.02%,22,0.02%,0.02,0.02,3
02.01.06,Advérbios (Adverbs),14,0.01%,14,0.01%,0.01,0.01,3
02.01.07,Numerais (Numerals or Number Words),4,0.00%,4,0.00%,0.0,0.0,3
02.01.08,Preposições (Prepositions),12,0.01%,12,0.01%,0.01,0.01,3
02.01.09,Conjunções e Conectivos (Conjuctions e Linking Words),35,0.03%,35,0.03%,0.03,0.03,3
02.01.10,Tópicos Mesclados de Classes de Palavras (Inglês),22,0.02%,22,0.02%,0.02,0.02,3
02.02,Controle Interno na Constituição Federal,53,0.05%,53,0.05%,0.05,0.05,2
02.02,"Princípios Expressos, Explícitos ou Constitucionais",422,0.36%,422,0.36%,0.36,0.36,2
02.02,Abordagem Clássica da Administração,150,0.13%,150,0.13%,0.13,0.13,2
02.02,"Memórias (RAM, ROM, CACHE, HD etc.)",140,0.12%,140,0.12%,0.12,0.12,2
02.02,Pontuação (Punctuation),2,0.00%,2,0.00%,0.0,0.0,2
02.02.01,Aspectos Gerais e Origens,1,0.00%,1,0.00%,0.0,0.0,3
02.02.02,Escola da Administração Científica,89,0.08%,89,0.08%,0.08,0.08,3
02.02.03,Escola da Teoria Clássica,60,0.05%,60,0.05%,0.05,0.05,3
02.03,Fonética e Pronúncia (Inglês),3,0.00%,3,0.00%,0.0,0.0,2
02.03,Teoria das Relações Humanas (Abordagem Humanística da Administração),56,0.05%,56,0.05%,0.05,0.05,2
02.03,"Barramentos, Placa-mãe e BIOS",34,0.03%,34,0.03%,0.03,0.03,2
02.03,Controle Interno Federal,331,0.28%,331,0.28%,0.28,0.28,2
02.03,"Princípios Implícitos, Reconhecidos e Infraconstitucionais",212,0.18%,212,0.18%,0.18,0.18,2
02.03.01,Controladoria-Geral da União (CGU),5,0.00%,5,0.00%,0.0,0.0,3
02.03.02,Decreto nº 3.591/2000 - Sistema de Controle Interno do Poder Executivo Federal,33,0.03%,33,0.03%,0.03,0.03,3
02.03.03,Decreto nº 5.480/2005 - Sistema de Correição do Poder Executivo Federal,4,0.00%,4,0.00%,0.0,0.0,3
02.03.04,Instrução Normativa SFC/MF nº 01/2001 - CGU,244,0.21%,244,0.21%,0.21,0.21,3
02.03.05,Instrução Normativa SFC/MTFC nº 03/2017 - Referencial Técnico da Atividade de Auditoria Interna,14,0.01%,14,0.01%,0.01,0.01,3
02.03.06,Instrução Normativa CGU nº 24/2015 - PAINT e RAINT,2,0.00%,2,0.00%,0.0,0.0,3
02.03.07,Portaria Normativa CGU nº 27/2022 - Sistema de Correição e Atividade Correcional nos Órgãos e Entidades do Poder Executivo Federal,4,0.00%,4,0.00%,0.0,0.0,3
02.03.08,Outros Normativos da CGU,25,0.02%,25,0.02%,0.02,0.02,3
02.04,Formação e Estrutura das Palavras (Inglês),13,0.01%,13,0.01%,0.01,0.01,2
02.04,Periféricos (Dispositivos de Entrada e Saída),67,0.06%,67,0.06%,0.06,0.06,2
02.04,Abordagem Neoclássica da Administração,57,0.05%,57,0.05%,0.05,0.05,2
02.04,Controle Interno Estadual,25,0.02%,25,0.02%,0.02,0.02,2
02.04.01,Teoria Neoclássica,10,0.01%,10,0.01%,0.01,0.01,3
02.04.01,Legislação de Controle Interno do DF,1,0.00%,1,0.00%,0.0,0.0,3
02.04.02,Legislação de Controle Interno do Estado do ES,8,0.01%,8,0.01%,0.01,0.01,3
02.04.02,Administração por Objetivos (APO),47,0.04%,47,0.04%,0.04,0.04,3
02.04.03,Legislação de Controle Interno do Estado do PI,4,0.00%,4,0.00%,0.0,0.0,3
02.04.04,Legislação de Controle Interno do Estado do RJ,10,0.01%,10,0.01%,0.01,0.01,3
02.04.04.01,"Lei Estadual nº 7.989/2018 - Sistema de Controle Interno, Cria a CGE-RJ e o FACI-RJ, Organiza as Carreiras e Outros",5,0.00%,5,0.00%,0.0,0.0,4
02.04.04.02,Decreto Estadual nº 46.873/2019 - Sistema de Controle Interno do Poder Executivo Estadual (CGE-RJ),3,0.00%,3,0.00%,0.0,0.0,4
02.04.04.03,Outros Tópicos de Legislação de Controle Interno do Estado do RJ,2,0.00%,2,0.00%,0.0,0.0,4
02.04.05,Legislação de Controle Interno do Estado do RS,2,0.00%,2,0.00%,0.0,0.0,3
02.04.05.01,Lei Complementar Estadual nº 13.451/2010 - Lei Orgânica da Contadoria e Auditoria-Geral do Estado (RS),2,0.00%,2,0.00%,0.0,0.0,4
02.05,Teoria da Burocracia,72,0.06%,72,0.06%,0.06,0.06,2
02.05,Nobreak e Estabilizadores,5,0.00%,5,0.00%,0.0,0.0,2
02.05,Sintaxe (Syntax),61,0.05%,61,0.05%,0.05,0.05,2
02.05,Controle Interno Municipal,7,0.01%,7,0.01%,0.01,0.01,2
02.05.01,Análise Sintática (Syntax Parsing),14,0.01%,14,0.01%,0.01,0.01,3
02.05.02,Voz Ativa e Passiva (Active and Passive Voice),18,0.02%,18,0.02%,0.02,0.02,3
02.05.03,Tipos de Discurso (Direct e Reported Speech),5,0.00%,5,0.00%,0.0,0.0,3
02.05.04,Formas de Sentenças (Inglês),24,0.02%,24,0.02%,0.02,0.02,3
02.05.04.01,Formas Negativas (Inglês),2,0.00%,2,0.00%,0.0,0.0,4
02.05.04.02,Formas Interrogativas e Question Tags (Inglês),11,0.01%,11,0.01%,0.01,0.01,4
02.05.04.03,Forma Condicional (Inglês),11,0.01%,11,0.01%,0.01,0.01,4
02.06,Teoria Estruturalista (Abordagem Estruturalista da Administração),12,0.01%,12,0.01%,0.01,0.01,2
02.06,Tipos de Computadores,2,0.00%,2,0.00%,0.0,0.0,2
02.06,NBC T 16.8 - Controle Interno no Setor Público,12,0.01%,12,0.01%,0.01,0.01,2
02.06,Caso Genitivo (Inglês),4,0.00%,4,0.00%,0.0,0.0,2
02.07,Questões Mescladas de Hardware,38,0.03%,38,0.03%,0.03,0.03,2
02.07,Tópicos Mesclados de Gramática (Inglês),36,0.03%,36,0.03%,0.03,0.03,2
02.07,Teoria Comportamental,28,0.02%,28,0.02%,0.02,0.02,2
02.07,Outros Tópicos e Questões Mescladas sobre Controle Interno Governamental,18,0.02%,18,0.02%,0.02,0.02,2
02.08,Teoria do Desenvolvimento Organizacional e Mudança Organizacional,171,0.15%,171,0.15%,0.15,0.15,2
02.08.01,Teoria do Desenvolvimento Organizacional,35,0.03%,35,0.03%,0.03,0.03,3
02.08.02,Mudança Organizacional,136,0.12%,136,0.12%,0.12,0.12,3
02.09,Teoria dos Sistemas (Abordagem Sistêmica da Administração),124,0.11%,124,0.11%,0.11,0.11,2
02.10,Teoria Contingencial (Abordagem Contingencial da Administração),55,0.05%,55,0.05%,0.05,0.05,2
02.11,O Papel do Homem nas Diversas Teorias,5,0.00%,5,0.00%,0.0,0.0,2
02.12,Tópico Mesclado de Teorias Administrativas,18,0.02%,18,0.02%,0.02,0.02,2
03,Sistemas Operacionais,1553,1.34%,1553,1.34%,1.34,1.34,1
03,Convergências e Divergências entre a Gestão Pública e a Privada,97,0.08%,97,0.08%,0.08,0.08,1
03,Atos Administrativos,1577,1.36%,1577,1.36%,1.36,1.36,1
03,Morfologia,1712,1.47%,1712,1.47%,1.47,1.47,1
03,"TCU (CF, LO e RI)",603,0.52%,603,0.52%,0.52,0.52,1
03,Semântica e Significado de Vocábulos (Semantics),961,0.83%,961,0.83%,0.83,0.83,1
03,Dos Direitos e Garantias Fundamentais (arts. 5º a 17 da CF/1988),2989,2.57%,2989,2.57%,2.57,2.57,1
03.01,Formação e Estrutura das Palavras,86,0.07%,86,0.07%,0.07,0.07,2
03.01,Jurisdição do TCU,40,0.03%,40,0.03%,0.03,0.03,2
03.01,Características (Direitos Fundamentais),149,0.13%,149,0.13%,0.13,0.13,2
03.01,Conceito de Atos Administrativos,102,0.09%,102,0.09%,0.09,0.09,2
03.01,Convergências entre a Gestão Pública e a Privada,30,0.03%,30,0.03%,0.03,0.03,2
03.01,Conceitos Gerais de Sistemas Operacionais e Sistemas de Arquivos,95,0.08%,95,0.08%,0.08,0.08,2
03.01,"Significado de Palavras e Expressões (Sinônimos, Antônimos, Parônimos, Denotação, Conotação etc.)",393,0.34%,393,0.34%,0.34,0.34,2
03.02,Windows,1227,1.06%,1227,1.06%,1.06,1.06,2
03.02,Divergências entre a Gestão Pública e a Privada,67,0.06%,67,0.06%,0.06,0.06,2
03.02,Gerações de Direitos Fundamentais,61,0.05%,61,0.05%,0.05,0.05,2
03.02,Substituição de Palavras e Reescrita de Frases (Inglês),368,0.32%,368,0.32%,0.32,0.32,2
03.02,Classes de Palavras,1626,1.40%,1626,1.40%,1.4,1.4,2
03.02,Competência do TCU,187,0.16%,187,0.16%,0.16,0.16,2
03.02,Mérito Administrativo,25,0.02%,25,0.02%,0.02,0.02,2
03.02.01,Windows 2000 e Versões Anteriores,231,0.20%,231,0.20%,0.2,0.2,3
03.02.01,Artigo,19,0.02%,19,0.02%,0.02,0.02,3
03.02.02,Windows XP,469,0.40%,469,0.40%,0.4,0.4,3
03.02.02,Substantivo,79,0.07%,79,0.07%,0.07,0.07,3
03.02.03,Windows Vista,25,0.02%,25,0.02%,0.02,0.02,3
03.02.03,Adjetivo,94,0.08%,94,0.08%,0.08,0.08,3
03.02.04,Windows 7,251,0.22%,251,0.22%,0.22,0.22,3
03.02.04,Verbo,535,0.46%,535,0.46%,0.46,0.46,3
03.02.04.01,Conjugação. Reconhecimento e Emprego dos Modos e Tempos Verbais,437,0.38%,437,0.38%,0.38,0.38,4
03.02.04.02,Correlação Verbal,23,0.02%,23,0.02%,0.02,0.02,4
03.02.04.03,Locução Verbal,38,0.03%,38,0.03%,0.03,0.03,4
03.02.04.04,Questões Variadas de Verbo,37,0.03%,37,0.03%,0.03,0.03,4
03.02.05,Windows 8,62,0.05%,62,0.05%,0.05,0.05,3
03.02.05,Pronomes,108,0.09%,108,0.09%,0.09,0.09,3
03.02.05.01,Pronomes Pessoais,28,0.02%,28,0.02%,0.02,0.02,4
03.02.05.02,Pronomes de Tratamento,9,0.01%,9,0.01%,0.01,0.01,4
03.02.05.03,Pronomes Possessivos,3,0.00%,3,0.00%,0.0,0.0,4
03.02.05.04,Pronomes Indefinidos,3,0.00%,3,0.00%,0.0,0.0,4
03.02.05.05,Pronomes Interrogativos,2,0.00%,2,0.00%,0.0,0.0,4
03.02.05.06,Pronomes Demonstrativos,14,0.01%,14,0.01%,0.01,0.01,4
03.02.05.07,Pronomes Relativos,39,0.03%,39,0.03%,0.03,0.03,4
03.02.05.08,Questões Mescladas sobre Pronomes,10,0.01%,10,0.01%,0.01,0.01,4
03.02.06,Advérbio,88,0.08%,88,0.08%,0.08,0.08,3
03.02.06,Windows 10,148,0.13%,148,0.13%,0.13,0.13,3
03.02.07,Windows 11,41,0.04%,41,0.04%,0.04,0.04,3
03.02.07,Numeral,4,0.00%,4,0.00%,0.0,0.0,3
03.02.08,Preposição,110,0.09%,110,0.09%,0.09,0.09,3
03.02.09,Conjunção,518,0.45%,518,0.45%,0.45,0.45,3
03.02.10,Interjeição,3,0.00%,3,0.00%,0.0,0.0,3
03.02.11,Questões Variadas de Classe de Palavras,68,0.06%,68,0.06%,0.06,0.06,3
03.03,"Referenciação, Anáfora e Catáfora (Língua Inglesa)",126,0.11%,126,0.11%,0.11,0.11,2
03.03,"Composição do TCU (CF, LO e RI)",19,0.02%,19,0.02%,0.02,0.02,2
03.03,"Elementos, Requisitos e Pressupostos (Atos Administrativos)",189,0.16%,189,0.16%,0.16,0.16,2
03.03,Linux / Unix,227,0.20%,227,0.20%,0.2,0.2,2
03.03,Dos Direitos e Deveres Individuais e Coletivos (art. 5º da CF/1988),1331,1.14%,1331,1.14%,1.14,1.14,2
03.04,Atributos ou Características dos Atos Administrativos,246,0.21%,246,0.21%,0.21,0.21,2
03.04,MS-DOS,4,0.00%,4,0.00%,0.0,0.0,2
03.04,"Remédios Constitucionais (art. 5º, LXVIII a LXXIII e LXXVII da CF/1988)",374,0.32%,374,0.32%,0.32,0.32,2
03.04,Falsos Cognatos (False Cognates),22,0.02%,22,0.02%,0.02,0.02,2
03.04,Organização e Funcionamento do TCU (LO e RI TCU),28,0.02%,28,0.02%,0.02,0.02,2
03.04.01,Habeas Corpus,62,0.05%,62,0.05%,0.05,0.05,3
03.04.02,Mandado de Segurança,118,0.10%,118,0.10%,0.1,0.1,3
