Data,Nome,Link,Total,Resolvidas,Acertos,Erros
17/08/2025,"Segurança da Informação para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGS,1261,0,0%,0%
17/08/2025,"Raciocínio Analítico para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGR,74,0,0%,0%
17/08/2025,"Matemática Financeira para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGQ,462,0,0%,0%
17/08/2025,"Língua Portuguesa para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGP,772,0,0%,0%
17/08/2025,"Língua Inglesa para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGO,474,0,0%,0%
17/08/2025,"Infraestrutura de TI para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGN,954,0,0%,0%
17/08/2025,"Gestão, Governança de TI e Engenharia de Software para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGM,1411,0,0%,0%
17/08/2025,"Fiscalização de Contratos de TI para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGL,286,0,0%,0%
17/08/2025,"Estatística para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGK,842,0,0%,0%
17/08/2025,"Direito Processual Civil para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGJ,152,0,0%,0%
17/08/2025,"Direito Penal para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGI,551,0,0%,0%
17/08/2025,"Direito Constitucional para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGH,968,0,0%,0%
17/08/2025,"Direito Civil para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGG,432,0,0%,0%
17/08/2025,"Direito Administrativo para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGF,992,0,0%,0%
17/08/2025,"Desenvolvimento de Sistemas para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGE,1234,0,0%,0%
17/08/2025,"Controle Externo para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGD,468,0,0%,0%
17/08/2025,"Auditoria Governamental para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGC,323,0,0%,0%
17/08/2025,"Análise de Informações para Auditor - TCU - 2015",https://www.tecconcursos.com.br/s/Q59eGB,2950,0,0%,0%
